name,color
Wild Kratts,#333333
Electric Company,#FFFF33
FETCH!,#22dd66
Wilson and Ditch,#FF7F00
Fizzy's Lunch Lab,#FF7F00
Chuck Vanderchuck,#FF7F00
Cartoon Studio,#FF7F00
Sci Girls,#FF7F00
Secret Box,#999999
